RecordID,CallNumber,CallDateTime,Priority,District,Description,IncidentLocation,ZipCode,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,Location,year,month,Latitude,Longitude
7473774,P200582246,02/27/2020 12:54:00 PM,Non-Emergency,NE,FOLLOW UP,5200 BOWLEYS LN,21206.0,Frankford,Northeastern,443.0,2.0,D6,Cedonia/Frankford,Census Tract 2602.02,,"5200 BOWLEYS LN
BALTIMORE, MD
(39.322192, -76.553024)",2020,2,39.322055,-76.5524498
7473720,P200582270,02/27/2020 12:59:00 PM,Non-Emergency,ED,RECOVER PROPERTY,600 N WOLFE ST,21287.0,Dunbar-Broadway,Eastern,321.0,13.0,D5,Oldtown/Middle East,Census Tract 604,,"600 N WOLFE ST
BALTIMORE, MD
(39.296948, -76.590783)",2020,2,39.2968851,-76.5924306
7473826,P200582333,02/27/2020 01:20:00 PM,Low,NE,911/NO  VOICE,5300 HARFORD RD,21214.0,Hamilton Hills,Northeastern,423.0,3.0,D4,Harford/Echodale,Census Tract 2706,,"5300 HARFORD RD
BALTIMORE, MD
(39.350926, -76.562604)",2020,2,39.350286,-76.563357
7473132,P200581612,02/27/2020 09:51:00 AM,Non-Emergency,SD,FOLLOW UP,600 WYETH ST,21230.0,Washington Village/Pigtown,Southern,932.0,10.0,D7,Washington Village/Pigtown,Census Tract 2101,,"600 WYETH ST
BALTIMORE, MD
(39.282014, -76.629535)",2020,2,39.28199295,-76.62969006459161
7473731,P200582191,02/27/2020 12:40:00 PM,Medium,ED,FAMILY DISTURB,1000 ORLEANS ST,21202.0,Pleasant View Gardens,Southeastern,211.0,12.0,D7,Oldtown/Middle East,Census Tract 2805,,"1000 ORLEANS ST
BALTIMORE, MD
(39.29481, -76.605038)",2020,2,39.2947265,-76.6059257
7473571,P200582045,02/27/2020 11:55:00 AM,Low,TRU,UNKNOWN TROUBLE,700 W 40TH ST,21211.0,Roland Park,Northern,541.0,14.0,D2,Medfield/Hampden/Woodberry/Remington,Census Tract 1307,,"700 W 40TH ST
BALTIMORE, MD
(39.33715, -76.629375)",2020,2,39.33807935,-76.62970953873577
7473267,P200581660,02/27/2020 10:10:00 AM,High,ED,BURGLARY,2400 BRENTWOOD AV,21218.0,Barclay,Eastern,341.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1203,,"2400 BRENTWOOD AV
BALTIMORE, MD
(39.316325, -76.610403)",2020,2,39.3163409,-76.61060620018065
7473583,P200581988,02/27/2020 11:38:00 AM,Medium,WD,DISORDERLY,1200 W FAYETTE ST,21223.0,Poppleton,Western,712.0,9.0,D8,Poppleton/The Terraces/Hollins Market,Census Tract 1802,,"1200 W FAYETTE ST
BALTIMORE, MD
(39.289797, -76.636951)",2020,2,39.2899743,-76.6369689
7473939,P200582381,02/27/2020 01:36:00 PM,Low,ED,WELL BEING,500 E 20TH ST,21218.0,East Baltimore Midway,Eastern,342.0,12.0,D5,Midway/Coldstream,Census Tract 908,,"500 E 20TH ST
BALTIMORE, MD
(39.3125, -76.609334)",2020,2,39.312566,-76.609374
7473211,P200581644,02/27/2020 10:05:00 AM,Low,NE,LARCENY,1200 GITTINGS AV,21239.0,Idlewood,Northeastern,414.0,4.0,D3,Loch Raven,Census Tract 2708.01,,"1200 GITTINGS AV
BALTIMORE, MD
(39.370213, -76.593883)",2020,2,39.370473700000005,-76.59390897521315
7473879,P200582401,02/27/2020 01:40:00 PM,Low,SE,AUTO ACCIDENT,6800 EASTERN AV,21224.0,Eastwood,Southeastern,241.0,1.0,D6,Orangeville/East Highlandtown,Census Tract 2605.01,,"6800 EASTERN AV
BALTIMORE, MD
(39.288057, -76.531238)",2020,2,39.2882737,-76.5312466
7473795,P200582358,02/27/2020 01:29:00 PM,Low,TRU,911/NO  VOICE,4800 GREENSPRING AV,21209.0,Coldspring,Northern,533.0,6.0,D2,Mount Washington/Coldspring,Census Tract 1308.05,,"4800 GREENSPRING AV
BALTIMORE, MD
(39.347575, -76.659124)",2020,2,39.347342,-76.659339
7473158,P200581626,02/27/2020 10:01:00 AM,Low,TRU,AUTO ACCIDENT,600 WASHINGTON PL,21201.0,Mount Vernon,Central,142.0,11.0,D8,Midtown,Census Tract 1102,,"600 WASHINGTON PL
BALTIMORE, MD
(39.296585, -76.615778)",2020,2,39.296505,-76.615892
7473948,P200582379,02/27/2020 01:35:00 PM,Low,NE,POLICE INFO,3900 CHESTERFIELD AV,21213.0,Belair-Edison,Northeastern,432.0,13.0,D6,Belair-Edison,Census Tract 2603.02,,"3900 CHESTERFIELD AV
BALTIMORE, MD
(39.317149, -76.563)",2020,2,39.31718065,-76.5627595542837
7473107,P200581561,02/27/2020 09:43:00 AM,Non-Emergency,SE,TOWED VEHICLE,6500 BALTIMORE AV,21222.0,Saint Helena,Southeastern,243.0,1.0,D7,Southeastern,Census Tract 2606.05,,"6500 BALTIMORE AV
BALTIMORE, MD
(39.258167, -76.531954)",2020,2,39.25844845,-76.5319439976663
7473431,P200581894,02/27/2020 11:15:00 AM,Non-Emergency,ND,INVESTIGATE AUTO,3600 EDGEGREEN AV,21211.0,Woodberry,Northern,533.0,7.0,D2,Medfield/Hampden/Woodberry/Remington,Census Tract 1308.06,,"3600 EDGEGREEN AV
BALTIMORE, MD
(39.331789, -76.654031)",2020,2,39.33170509999999,-76.65420680721463
7473744,P200582177,02/27/2020 12:37:00 PM,Low,NE,AUTO ACCIDENT,MORAVIA RD/GUNTHER AV,21206.0,Frankford,Northeastern,443.0,2.0,D4,Cedonia/Frankford,Census Tract 2602.01,,"MORAVIA RD
BALTIMORE, MD",2020,2,39.331095,-76.561612
7473730,P200582238,02/27/2020 12:49:00 PM,Non-Emergency,SD,FALSE PRETENSE,1500 ANDRE ST,21230.0,Locust Point,Southern,943.0,11.0,D7,South Baltimore,Census Tract 2401,,"1500 ANDRE ST
BALTIMORE, MD
(39.266191, -76.592168)",2020,2,39.268009,-76.59124
7473963,P200582445,02/27/2020 01:52:00 PM,Medium,ED,EXPART/PROT/PEAC,1400 N LINWOOD AV,21213.0,Berea,Eastern,332.0,13.0,D5,Clifton-Berea,Census Tract 803.02,,"1400 N LINWOOD AV
BALTIMORE, MD
(39.307233, -76.576688)",2020,2,39.3072508,-76.57694039396262
7473938,P200582443,02/27/2020 01:55:00 PM,Low,WD,UNKNOWN TROUBLE,2500 PENNSYLVANIA AV,21217.0,Penn North,Western,733.0,7.0,D9,Greater Mondawmin,Census Tract 1501,Western,"2500 PENNSYLVANIA AV
BALTIMORE, MD
(39.310664, -76.643269)",2020,2,39.3104421,-76.64331573704959
7473369,P200581807,02/27/2020 10:52:00 AM,Medium,ED,COMMON ASSAULT,1200 ORLEANS ST,21202.0,Pleasant View Gardens,Southeastern,211.0,12.0,D7,Oldtown/Middle East,Census Tract 2805,,"1200 ORLEANS ST
BALTIMORE, MD
(39.295007, -76.600909)",2020,2,39.2948751,-76.6010676
7473664,P200582101,02/27/2020 12:13:00 PM,Medium,CD,DISORDERLY,1500 PENNSYLVANIA AV,21217.0,Upton,Central,123.0,11.0,D8,Upton/Druid Heights,Census Tract 1402,Central,"1500 PENNSYLVANIA AV
BALTIMORE, MD
(39.301922, -76.632707)",2020,2,39.301943449999996,-76.63308235047194
7473348,P200581784,02/27/2020 10:38:00 AM,Medium,SW,NARCOTICS,2900 EDMONDSON AV,21223.0,Franklintown Road,Southwestern,814.0,9.0,D8,Greater Rosemont,Census Tract 1606,,"2900 EDMONDSON AV
BALTIMORE, MD
(39.2944, -76.665086)",2020,2,39.2946166,-76.66510291871538
7473893,P200582463,02/27/2020 02:00:00 PM,Medium,SD,NARCOTICS,1800 EAGLE ST,21223.0,Carrollton Ridge,Southern,934.0,9.0,D8,Southwest Baltimore,Census Tract 1903,,"1800 EAGLE ST
BALTIMORE, MD
(39.281018, -76.644924)",2020,2,39.28118875,-76.6449222638372
